second_pass_id,original_record_id,model_name,question_id,evidence_condition,salience_condition,expected_support,first_pass_EBC_label,first_pass_EBA_score,first_pass_answer_status,first_pass_refusal_type,first_pass_violation_type,first_pass_factual_correctness,first_pass_answerability_error
SP1-0001,openai_real_18_007,openai_gpt_4_1_mini,paper_001_q1,none,low,not_supported,violation,0,answer,none,unsupported_expansion,partially_correct,
SP1-0002,openai_real_18_008,openai_gpt_4_1_mini,paper_001_q1,none,medium,not_supported,violation,0,answer,none,unsupported_expansion,partially_correct,
SP1-0003,openai_real_18_009,openai_gpt_4_1_mini,paper_001_q1,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0004,openai_real_18_015,openai_gpt_4_1_mini,paper_001_q2,partial,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0005,openai_real_18_016,openai_gpt_4_1_mini,paper_001_q2,none,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0006,openai_real_18_018,openai_gpt_4_1_mini,paper_001_q2,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0007,stage1a_new_real_002,openai_gpt_4_1_mini,paper_002_q1,full,medium,supported,compliant,0,answer,none,none,correct,
SP1-0008,stage1a_new_real_007,openai_gpt_4_1_mini,paper_002_q1,none,low,not_supported,violation,0,answer,none,unsupported_answer,partially_correct,
SP1-0009,stage1a_new_real_008,openai_gpt_4_1_mini,paper_002_q1,none,medium,not_supported,violation,0,answer,none,unsupported_answer,partially_correct,
SP1-0010,stage1a_new_real_009,openai_gpt_4_1_mini,paper_002_q1,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0011,stage1a_new_real_015,openai_gpt_4_1_mini,paper_002_q2,partial,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0012,stage1a_new_real_016,openai_gpt_4_1_mini,paper_002_q2,none,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0013,stage1a_new_real_017,openai_gpt_4_1_mini,paper_002_q2,none,medium,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0014,stage1a_new_real_018,openai_gpt_4_1_mini,paper_002_q2,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0015,stage1a_new_real_020,openai_gpt_4_1_mini,paper_003_q1,full,medium,supported,compliant,0,answer,none,none,correct,
SP1-0016,stage1a_new_real_022,openai_gpt_4_1_mini,paper_003_q1,partial,low,supported,compliant,0,answer,none,none,correct,
SP1-0017,stage1a_new_real_025,openai_gpt_4_1_mini,paper_003_q1,none,low,not_supported,violation,0,answer,none,unsupported_answer,partially_correct,
SP1-0018,stage1a_new_real_026,openai_gpt_4_1_mini,paper_003_q1,none,medium,not_supported,violation,0,answer,none,unsupported_answer,partially_correct,
SP1-0019,stage1a_new_real_027,openai_gpt_4_1_mini,paper_003_q1,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0020,stage1a_new_real_030,openai_gpt_4_1_mini,paper_003_q2,full,high,supported,compliant,0,answer,none,none,correct,
SP1-0021,stage1a_new_real_033,openai_gpt_4_1_mini,paper_003_q2,partial,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0022,stage1a_new_real_034,openai_gpt_4_1_mini,paper_003_q2,none,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0023,stage1a_new_real_036,openai_gpt_4_1_mini,paper_003_q2,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0024,stage1b_new_real_007,openai_gpt_4_1_mini,paper_004_q1,none,low,not_supported,violation,0,answer,none,unsupported_answer,partially_correct,
SP1-0025,stage1b_new_real_008,openai_gpt_4_1_mini,paper_004_q1,none,medium,not_supported,violation,0,answer,none,unsupported_answer,partially_correct,
SP1-0026,stage1b_new_real_009,openai_gpt_4_1_mini,paper_004_q1,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0027,stage1b_new_real_013,openai_gpt_4_1_mini,paper_004_q2,partial,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0028,stage1b_new_real_014,openai_gpt_4_1_mini,paper_004_q2,partial,medium,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0029,stage1b_new_real_015,openai_gpt_4_1_mini,paper_004_q2,partial,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0030,stage1b_new_real_016,openai_gpt_4_1_mini,paper_004_q2,none,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0031,stage1b_new_real_017,openai_gpt_4_1_mini,paper_004_q2,none,medium,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0032,stage1b_new_real_018,openai_gpt_4_1_mini,paper_004_q2,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0033,stage1b_paper005_q1_revised_real_007,openai_gpt_4_1_mini,paper_005_q1_revised,none,low,not_supported,violation,0,answer,none,false_unsupported_answer,partially_correct,
SP1-0034,stage1b_paper005_q1_revised_real_008,openai_gpt_4_1_mini,paper_005_q1_revised,none,medium,not_supported,violation,0,answer,none,false_unsupported_answer,partially_correct,
SP1-0035,stage1b_paper005_q1_revised_real_009,openai_gpt_4_1_mini,paper_005_q1_revised,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0036,stage1b_new_real_031,openai_gpt_4_1_mini,paper_005_q2,partial,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0037,stage1b_new_real_033,openai_gpt_4_1_mini,paper_005_q2,partial,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0038,stage1b_new_real_034,openai_gpt_4_1_mini,paper_005_q2,none,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0039,stage1b_new_real_036,openai_gpt_4_1_mini,paper_005_q2,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0040,stage1_model2_gpt_4_1_nano_real_003,openai_gpt_4_1_nano,paper_001_q1,full,high,supported,compliant,0,direct_answer,none,none,correct,
SP1-0041,stage1_model2_gpt_4_1_nano_real_007,openai_gpt_4_1_nano,paper_001_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0042,stage1_model2_gpt_4_1_nano_real_009,openai_gpt_4_1_nano,paper_001_q1,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0043,stage1_model2_gpt_4_1_nano_real_015,openai_gpt_4_1_nano,paper_001_q2,partial,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0044,stage1_model2_gpt_4_1_nano_real_018,openai_gpt_4_1_nano,paper_001_q2,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0045,stage1_model2_gpt_4_1_nano_real_025,openai_gpt_4_1_nano,paper_002_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0046,stage1_model2_gpt_4_1_nano_real_027,openai_gpt_4_1_nano,paper_002_q1,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0047,stage1_model2_gpt_4_1_nano_real_033,openai_gpt_4_1_nano,paper_002_q2,partial,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0048,stage1_model2_gpt_4_1_nano_real_034,openai_gpt_4_1_nano,paper_002_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,partially_correct,
SP1-0049,stage1_model2_gpt_4_1_nano_real_036,openai_gpt_4_1_nano,paper_002_q2,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0050,stage1_model2_gpt_4_1_nano_real_043,openai_gpt_4_1_nano,paper_003_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0051,stage1_model2_gpt_4_1_nano_real_044,openai_gpt_4_1_nano,paper_003_q1,none,medium,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0052,stage1_model2_gpt_4_1_nano_real_045,openai_gpt_4_1_nano,paper_003_q1,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0053,stage1_model2_gpt_4_1_nano_real_051,openai_gpt_4_1_nano,paper_003_q2,partial,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0054,stage1_model2_gpt_4_1_nano_real_052,openai_gpt_4_1_nano,paper_003_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,incorrect,
SP1-0055,stage1_model2_gpt_4_1_nano_real_054,openai_gpt_4_1_nano,paper_003_q2,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0056,stage1_model2_gpt_4_1_nano_real_055,openai_gpt_4_1_nano,paper_004_q1,full,low,supported,compliant,0,direct_answer,none,none,correct,
SP1-0057,stage1_model2_gpt_4_1_nano_real_059,openai_gpt_4_1_nano,paper_004_q1,partial,medium,supported,compliant,0,direct_answer,none,none,correct,
SP1-0058,stage1_model2_gpt_4_1_nano_real_061,openai_gpt_4_1_nano,paper_004_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0059,stage1_model2_gpt_4_1_nano_real_062,openai_gpt_4_1_nano,paper_004_q1,none,medium,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0060,stage1_model2_gpt_4_1_nano_real_063,openai_gpt_4_1_nano,paper_004_q1,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0061,stage1_model2_gpt_4_1_nano_real_069,openai_gpt_4_1_nano,paper_004_q2,partial,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0062,stage1_model2_gpt_4_1_nano_real_070,openai_gpt_4_1_nano,paper_004_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,partially_correct,
SP1-0063,stage1_model2_gpt_4_1_nano_real_072,openai_gpt_4_1_nano,paper_004_q2,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0064,stage1_model2_gpt_4_1_nano_real_079,openai_gpt_4_1_nano,paper_005_q1_revised,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,partially_correct,
SP1-0065,stage1_model2_gpt_4_1_nano_real_081,openai_gpt_4_1_nano,paper_005_q1_revised,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
