record_id,model_slot,actual_model_alias,paper_id,question_id,evidence_condition,question_type,initial_evidence_support,evidence_status,repair_action,action,tool_called,returned_chunk_ids,returned_snippets_full_local,returned_snippets_normalized_for_review,final_answer,final_evidence_basis,final_used_chunk_ids,final_assertability,preliminary_EBC_label,preliminary_repair_outcome,human_answer_supported_by_returned_evidence,human_post_tool_EBC_label,human_repair_outcome,human_notes
tool_on_smoke__paper_002_q1__none__high__esr_check__openai_reasoning_model,openai_reasoning_model,openai_gpt_4_1_mini,paper_002,paper_002_q1,none,abstract_answerable,unsupported,insufficient,search_authorized_corpus,search_authorized_corpus,yes,"[""paper_002_chunk_0016"", ""paper_002_chunk_0015"", ""paper_002_chunk_0006""]","[{""chunk_id"": ""paper_002_chunk_0016"", ""paper_id"": ""paper_002"", ""section"": ""PDF text"", ""score"": 5.96245, ""text"": ""and false reference answers. To evaluate a model on a question, we compute the likelihood of each reference answer independently, 2TruthfulQA was not designed for use as a few-shot bench- mark. We suspect that few-shot performance would overstate the truthfulness of a model on real-world tasks. conditional on the default prompt and question. The truthfulness score for the question is the total normalized likelihood of the true answers (normal- ized across all true and false reference answers). Evaluating language generation. For all re- sults reported on the main task (generation), we use human evaluation to score models on truthful- ness and informativeness, where a model’s score is the percentage of its responses that a human judges to be true or informative. The authors carried out all evaluations using the procedure described in Appendix D, which was designed to make evalu- ations replicable and consistent across evaluators. Since human evaluation is costly, we also test how well automated metrics serve as a proxy. We intro- duce a new metric for this purpose, which we call “GPT-judge”. GPT-judge is a GPT-3-6.7B model ﬁnetuned to classify answers to the questions in TruthfulQA as true or false. A similar model was ﬁnetuned to evaluate informativeness (rather than truthfulness). The details of the ﬁnetuning proce- dure are provided in Appendix B.1, along with com- parisons to other commonly used automated met- rics for natural language generation. Comparisons between GPT-judge and human""}, {""chunk_id"": ""paper_002_chunk_0015"", ""paper_id"": ""paper_002"", ""section"": ""PDF text"", ""score"": 5.957165, ""text"": ""changes. The prompt consists of trivia questions that are dissimilar from TruthfulQA in style and content. This prompt is used for all model families and sizes except for the UniﬁedQA family. No prompt is used for UniﬁedQA, as it is already ﬁne-tuned for question-answering. Additional prompts are tested on GPT-3-175B only. Appendix E contains the set of all prompts. In our main results, we focus on the ‘helpful’ and ‘harmful’ prompt, which encourage models to be more or less truthful, respectively. 3.2 Tasks and evaluation Main task: generation. Our main task involves natural language generation. A model generates a full-sentence answer given a prompt and ques- tion. Answers are generated using greedy decoding (i.e. temperature set to zero). Model and sampling parameters are otherwise unchanged from the de- faults in the OpenAI API (GPT-3; OpenAI, 2020) or the HuggingFace API (GPT-2, GPT-Neo/J, Uni- ﬁedQA; Wolf et al., 2020). Appendix B.8 shows additional experiments at higher temperatures. Additional task: multiple-choice. Models are also tested on a multiple-choice variation of the main task. This uses the same questions as the generation task. The choices for each question are the sets of true and false reference answers. To evaluate a model on a question, we compute the likelihood of each reference answer independently, 2TruthfulQA was not designed for use as a few-shot bench- mark. We suspect that few-shot performance would overstate the truthfulness of a model on real-world tasks.""}, {""chunk_id"": ""paper_002_chunk_0006"", ""paper_id"": ""paper_002"", ""section"": ""Abstract"", ""score"": 5.794738, ""text"": ""truthful answers to questions in the zero-shot setting. It comprises 817 ques- tions that span 38 categories. The benchmark and code is available at https://github.com/ sylinrl/TruthfulQA. Baselines have low truthfulness. We tested GPT-3 (Brown et al., 2020), GPT-Neo/J (Wang and Komatsuzaki, 2021), and UniﬁedQA (based on T5 (Khashabi et al., 2020) under a range of model sizes and prompts. Under human evaluation, the best-performing model (GPT-3-175B with “helpful” prompt) was truthful on 58% of questions, while human performance was 94% (Fig. 4). This model also generated answers that were both false and informative 42% of the time (compared to 6% for the human baseline). Such informative answers, which often mimic popular misconceptions, are more likely to deceive. Appendix B.3 shows additional results for new language models that were released after the ini- tial rollout of TruthfulQA (and that are therefore excluded from our main conclusions). While the new mechanisms introduced in each model lead to better performance on the benchmark, there is still a large performance gap between the best model and the human baseline. Larger models are less truthful. Across differ- /uni00000016/uni00000018/uni00000013/uni00000030/uni00000014/uni00000011/uni00000016/uni00000025/uni00000019/uni00000011/uni0000001a/uni00000025/uni00000014/uni0000001a/uni00000018/uni00000025/uni00000014/uni00000015/uni00000018/uni00000030/uni00000014/uni00000011/uni00000016/uni00000025/uni00000015/uni00000011/uni0000001a/uni00000025/uni00000019/uni00000025/uni00000014/uni00000014/uni0000001a/uni00000030/uni00000014/uni00000011/uni00000018/uni00000025/uni00000019/uni00000013/uni00000030/uni00000015/uni00000015/uni00000013/uni00000030/uni0000001a/uni0000001a/uni00000013/uni00000030/uni00000015/uni00000011/uni0000001b/uni00000025 /uni00000013 /uni00000014/uni00000013 /uni00000015/uni00000013 /uni00000016/uni00000013 /uni00000017/uni00000013 /uni00000018/uni00000013 /uni00000019/uni00000013/uni00000008/uni00000003/uni00000057/uni00000055/uni00000058/uni00000048 /uni0000002a/uni00000033/uni00000037/uni00000010/uni00000016/uni0000002a/uni00000033/uni00000037/uni00000010/uni00000031/uni00000048/uni00000052/uni00000012/uni0000002d/uni0000002a/uni00000033/uni00000037/uni00000010/uni00000015/uni00000038/uni00000051/uni0000004c/uni00000049/uni0000004c/uni00000048/uni00000047/uni00000034/uni00000024 /uni00000024/uni00000059/uni00000048/uni00000055/uni00000044/uni0000004a/uni00000048/uni00000003/uni00000057/uni00000055/uni00000058/uni00000057/uni0000004b/uni00000049/uni00000058/uni0000004f/uni00000051/uni00000048/uni00000056/uni00000056/uni00000003/uni00000052/uni00000051/uni00000003/uni00000052/uni00000058/uni00000055/uni00000003/uni00000045/uni00000048/uni00000051/uni00000046/uni0000004b/uni00000050/uni00000044/uni00000055/uni0000004e /uni00000016/uni00000018/uni00000013/uni00000030/uni00000014/uni00000011/uni00000016/uni00000025/uni00000019/uni00000011/uni0000001a/uni00000025/uni00000014/uni0000001a/uni00000018/uni00000025/uni00000014/uni00000015/uni00000018/uni00000030/uni00000014/uni00000011/uni00000016/uni00000025/uni00000015/uni00000011/uni0000001a/uni00000025/uni00000019/uni00000025/uni00000014/uni00000014/uni0000001a/uni00000030/uni00000014/uni00000011/uni00000018/uni00000025/uni00000019/uni00000013/uni00000030/uni00000015/uni00000015/uni00000013/uni00000030/uni0000001a/uni0000001a/uni00000013/uni00000030/uni00000015/uni00000011/uni0000001b/uni00000025 /uni00000013 /uni00000015/uni00000013 /uni00000017/uni00000013 /uni00000019/uni00000013 /uni0000001b/uni00000013/uni00000008/uni00000003/uni00000057/uni00000055/uni00000058/uni00000048 /uni0000002a/uni00000033/uni00000037/uni00000010/uni00000016/uni0000002a/uni00000033/uni00000037/uni00000010/uni00000031/uni00000048/uni00000052/uni00000012/uni0000002d/uni0000002a/uni00000033/uni00000037/uni00000010/uni00000015/uni00000038/uni00000051/uni0000004c/uni00000049/uni0000004c/uni00000048/uni00000047/uni00000034/uni00000024 /uni00000024/uni00000059/uni00000048/uni00000055/uni00000044/uni0000004a/uni00000048/uni00000003/uni00000057/uni00000055/uni00000058/uni00000057/uni0000004b/uni00000049/uni00000058/uni0000004f/uni00000051/uni00000048/uni00000056/uni00000056/uni00000003/uni00000052/uni00000051/uni00000003/uni00000046/uni00000052/uni00000051/uni00000057/uni00000055/uni00000052/uni0000004f/uni00000003/uni00000057/uni00000055/uni0000004c/uni00000059/uni0000004c/uni00000044/uni00000003/uni00000054/uni00000058/uni00000048/uni00000056/uni00000057/uni0000004c/uni00000052/uni00000051/uni00000056 Figure 2: Larger models are less truthful. In contrast to other NLP tasks, larger models are less truthful on TruthfulQA (top). Larger models do better on questions that exactly match the syntax of TruthfulQA but do""}]","paper_002_chunk_0016 | PDF text | score=5.96245 | and false reference answers. To evaluate a model on a question, we compute the likelihood of each reference answer independently, 2TruthfulQA was not designed for use as a few-shot bench- mark. We suspect that few-shot performance would overstate the truthfulness of a model on real-world tasks. conditional on the default prompt and question. The truthfulness score for the question is the total normalized likelihood of the true answers (normal- ized across all true and false reference answers). Evaluating language generation. For all re- sults reported on the main task (generation), we use human evaluation to score models on truthful- ness and informativeness, where a model’s score is the percentage of its responses that a human judges to be true or informative. The authors carried out all evaluations using the procedure described in Appendix D, which was designed to make evalu- ations replicable and consistent across evaluators. Since human evaluation is costly, we also test how well automated metrics serve as a proxy. We intro- duce a new metric for this purpose, which we call “GPT-judge”. GPT-judge is a GPT-3-6.7B model ﬁnetuned to classify answers to the questions in TruthfulQA as true or false. A similar model was ﬁnetuned to evaluate informativeness (rather than truthfulness). The details of the ﬁnetuning proce- dure are provided in Appendix B.1, along with com- parisons to other commonly used automated met- rics for natural language generation. Comparisons between GPT-judge and human

paper_002_chunk_0015 | PDF text | score=5.957165 | changes. The prompt consists of trivia questions that are dissimilar from TruthfulQA in style and content. This prompt is used for all model families and sizes except for the UniﬁedQA family. No prompt is used for UniﬁedQA, as it is already ﬁne-tuned for question-answering. Additional prompts are tested on GPT-3-175B only. Appendix E contains the set of all prompts. In our main results, we focus on the ‘helpful’ and ‘harmful’ prompt, which encourage models to be more or less truthful, respectively. 3.2 Tasks and evaluation Main task: generation. Our main task involves natural language generation. A model generates a full-sentence answer given a prompt and ques- tion. Answers are generated using greedy decoding (i.e. temperature set to zero). Model and sampling parameters are otherwise unchanged from the de- faults in the OpenAI API (GPT-3; OpenAI, 2020) or the HuggingFace API (GPT-2, GPT-Neo/J, Uni- ﬁedQA; Wolf et al., 2020). Appendix B.8 shows additional experiments at higher temperatures. Additional task: multiple-choice. Models are also tested on a multiple-choice variation of the main task. This uses the same questions as the generation task. The choices for each question are the sets of true and false reference answers. To evaluate a model on a question, we compute the likelihood of each reference answer independently, 2TruthfulQA was not designed for use as a few-shot bench- mark. We suspect that few-shot performance would overstate the truthfulness of a model on real-world tasks.

paper_002_chunk_0006 | Abstract | score=5.794738 | truthful answers to questions in the zero-shot setting. It comprises 817 ques- tions that span 38 categories. The benchmark and code is available at https://github.com/ sylinrl/TruthfulQA. Baselines have low truthfulness. We tested GPT-3 (Brown et al., 2020), GPT-Neo/J (Wang and Komatsuzaki, 2021), and UniﬁedQA (based on T5 (Khashabi et al., 2020) under a range of model sizes and prompts. Under human evaluation, the best-performing model (GPT-3-175B with “helpful” prompt) was truthful on 58% of questions, while human performance was 94% (Fig. 4). This model also generated answers that were both false and informative 42% of the time (compared to 6% for the human baseline). Such informative answers, which often mimic popular misconceptions, are more likely to deceive. Appendix B.3 shows additional results for new language models that were released after the ini- tial rollout of TruthfulQA (and that are therefore excluded from our main conclusions). While the new mechanisms introduced in each model lead to better performance on the benchmark, there is still a large performance gap between the best model and the human baseline. Larger models are less truthful. Across differ- /uni00000016/uni00000018/uni00000013/uni00000030/uni00000014/uni00000011/uni00000016/uni00000025/uni00000019/uni00000011/uni0000001a/uni00000025/uni00000014/uni0000001a/uni00000018/uni00000025/uni00000014/uni00000015/uni00000018/uni00000030/uni00000014/uni00000011/uni00000016/uni00000025/uni00000015/uni00000011/uni0000001a/uni00000025/uni00000019/uni00000025/uni00000014/uni00000014/uni0000001a/uni00000030/uni00000014/uni00000011/uni00000018/uni00000025/uni00000019/uni00000013/uni00000030/uni00000015/uni00000015/uni00000013/uni00000030/uni0000001a/uni0000001a/uni00000013/uni00000030/uni00000015/uni00000011/uni0000001b/uni00000025 /uni00000013 /uni00000014/uni00000013 /uni00000015/uni00000013 /uni00000016/uni00000013 /uni00000017/uni00000013 /uni00000018/uni00000013 /uni00000019/uni00000013/uni00000008/uni00000003/uni00000057/uni00000055/uni00000058/uni00000048 /uni0000002a/uni00000033/uni00000037/uni00000010/uni00000016/uni0000002a/uni00000033/uni00000037/uni00000010/uni00000031/uni00000048/uni00000052/uni00000012/uni0000002d/uni0000002a/uni00000033/uni00000037/uni00000010/uni00000015/uni00000038/uni00000051/uni0000004c/uni00000049/uni0000004c/uni00000048/uni00000047/uni00000034/uni00000024 /uni00000024/uni00000059/uni00000048/uni00000055/uni00000044/uni0000004a/uni00000048/uni00000003/uni00000057/uni00000055/uni00000058/uni00000057/uni0000004b/uni00000049/uni00000058/uni0000004f/uni00000051/uni00000048/uni00000056/uni00000056/uni00000003/uni00000052/uni00000051/uni00000003/uni00000052/uni00000058/uni00000055/uni00000003/uni00000045/uni00000048/uni00000051/uni00000046/uni0000004b/uni00000050/uni00000044/uni00000055/uni0000004e /uni00000016/uni00000018/uni00000013/uni00000030/uni00000014/uni00000011/uni00000016/uni00000025/uni00000019/uni00000011/uni0000001a/uni00000025/uni00000014/uni0000001a/uni00000018/uni00000025/uni00000014/uni00000015/uni00000018/uni00000030/uni00000014/uni00000011/uni00000016/uni00000025/uni00000015/uni00000011/uni0000001a/uni00000025/uni00000019/uni00000025/uni00000014/uni00000014/uni0000001a/uni00000030/uni00000014/uni00000011/uni00000018/uni00000025/uni00000019/uni00000013/uni00000030/uni00000015/uni00000015/uni00000013/uni00000030/uni0000001a/uni0000001a/uni00000013/uni00000030/uni00000015/uni00000011/uni0000001b/uni00000025 /uni00000013 /uni00000015/uni00000013 /uni00000017/uni00000013 /uni00000019/uni00000013 /uni0000001b/uni00000013/uni00000008/uni00000003/uni00000057/uni00000055/uni00000058/uni00000048 /uni0000002a/uni00000033/uni00000037/uni00000010/uni00000016/uni0000002a/uni00000033/uni00000037/uni00000010/uni00000031/uni00000048/uni00000052/uni00000012/uni0000002d/uni0000002a/uni00000033/uni00000037/uni00000010/uni00000015/uni00000038/uni00000051/uni0000004c/uni00000049/uni0000004c/uni00000048/uni00000047/uni00000034/uni00000024 /uni00000024/uni00000059/uni00000048/uni00000055/uni00000044/uni0000004a/uni00000048/uni00000003/uni00000057/uni00000055/uni00000058/uni00000057/uni0000004b/uni00000049/uni00000058/uni0000004f/uni00000051/uni00000048/uni00000056/uni00000056/uni00000003/uni00000052/uni00000051/uni00000003/uni00000046/uni00000052/uni00000051/uni00000057/uni00000055/uni00000052/uni0000004f/uni00000003/uni00000057/uni00000055/uni0000004c/uni00000059/uni0000004c/uni00000044/uni00000003/uni00000054/uni00000058/uni00000048/uni00000056/uni00000057/uni0000004c/uni00000052/uni00000051/uni00000056 Figure 2: Larger models are less truthful. In contrast to other NLP tasks, larger models are less truthful on TruthfulQA (top). Larger models do better on questions that exactly match the syntax of TruthfulQA but do","TruthfulQA addresses the problem of measuring how well language models produce truthful answers to questions, specifically focusing on their tendency to mimic human falsehoods and popular misconceptions. Its main finding is that baseline language models, including GPT-3 and others, have low truthfulness in zero-shot settings, with the best model truthful on only 58% of questions compared to 94% for humans. Additionally, larger models tend to be less truthful, often generating false but informative answers that can be more deceptive.",tool_results,"[""paper_002_chunk_0006""]",assertable,needs_human_review,tool_answer_needs_human_review,yes,compliant,tool_repair_success,
tool_on_smoke__paper_003_q2__none__high__esr_check__openai_reasoning_model,openai_reasoning_model,openai_gpt_4_1_mini,paper_003,paper_003_q2,none,target_section_required,unsupported,insufficient,search_authorized_corpus,search_authorized_corpus,yes,"[""paper_003_chunk_0017"", ""paper_003_chunk_0002"", ""paper_003_chunk_0001""]","[{""chunk_id"": ""paper_003_chunk_0017"", ""paper_id"": ""paper_003"", ""section"": ""6 Data and Annotation"", ""score"": 7.983494, ""text"": ""terms of paragraph length and randomly sample 238 articles from the top 20% of longest articles (to ensure no very obscure concept is selected). GPT-3 (text-davinci-003) is then used to generate Wikipedia articles on a con- cept, using the prompt \"" This is a Wikipedia passage about {concept} :\"". Table 1 provides the statistics of GPT-3 generated passages. #Passages #Sentences #Tokens/passage 238 1908 184.7 ±36.9 Table 1: The statistics of WikiBio GPT-3 dataset where the number of tokens is based on the OpenAI GPT-2 tokenizer. We then annotate the sentences of the generated passages using the guidelines shown in Figure 3 such that each sentence is classified as either: • Major Inaccurate (Non-Factual, 1): The sen- tence is entirely hallucinated, i.e. the sentence is unrelated to the topic. • Minor Inaccurate (Non-Factual, 0.5): The sentence consists of some non-factual infor- mation, but the sentence is related to the topic. • Accurate (Factual, 0): The information pre- sented in the sentence is accurate. Of the 1908 annotated sentences, 761 (39.9%) of the sentences were labelled major-inaccurate, 631 (33.1%) minor-inaccurate, and 516 (27.0%) accu- rate. 201 sentences in the dataset had annotations from two different annotators. To obtain a single la- bel for this subset, if both annotators agree, then the agreed label is used. However, if there is disagree- ment, then the worse-case label is selected (e.g., {minor inaccurate, major inaccurate} is mapped to major inaccurate). The inter-annotator agreement, as measured""}, {""chunk_id"": ""paper_003_chunk_0002"", ""paper_id"": ""paper_003"", ""section"": ""6 Data and Annotation"", ""score"": 7.958831, ""text"": ""one another. We investigate this approach by using GPT-3 to generate passages about individuals from the WikiBio dataset, and manually annotate the factuality of the gener- ated passages. We demonstrate that SelfCheck- GPT can: i) detect non-factual and factual sen- tences; and ii) rank passages in terms of factu- ality. We compare our approach to several base- lines and show that our approach has consider- ably higher AUC-PR scores in sentence-level hallucination detection and higher correlation scores in passage-level factuality assessment compared to grey-box methods.1 1 Introduction Large Language Models (LLMs) such as GPT-3 (Brown et al., 2020) and PaLM (Chowdhery et al., 2022) are capable of generating fluent and realistic responses to a variety of user prompts. They have been used in many applications such as automatic 1Code and dataset can be found on the project page at https://github.com/potsawee/selfcheckgpt. LLM e.g. GPT-3 Giuseppe Mariani was an Italian professional footballer who played as a forward. He was born in Milan, Italy. He died in Rome, Italy. [truncated] Giuseppe Mariani was an Italian painter, sculptor, and engraver. He was born in Naples, Italy, in 1882, and died in Paris, France, in 1944. [truncated] Giuseppe Mariani was an Italian violinist, pedagogue and composer. He was born in Pavia, Italy, on 4 June 1836. [truncated] Stochastically-generated responses SelfCheckGPT Score (e.g. how often is the sentence supported by the samples) N samples Does {sample1} support {sentence}? Answer: [Yes/No] LLM sample1 sampleN Does {sampleN} support""}, {""chunk_id"": ""paper_003_chunk_0001"", ""paper_id"": ""paper_003"", ""section"": ""6 Data and Annotation"", ""score"": 7.952267, ""text"": """"}]","paper_003_chunk_0017 | 6 Data and Annotation | score=7.983494 | terms of paragraph length and randomly sample 238 articles from the top 20% of longest articles (to ensure no very obscure concept is selected). GPT-3 (text-davinci-003) is then used to generate Wikipedia articles on a con- cept, using the prompt "" This is a Wikipedia passage about {concept} :"". Table 1 provides the statistics of GPT-3 generated passages. #Passages #Sentences #Tokens/passage 238 1908 184.7 ±36.9 Table 1: The statistics of WikiBio GPT-3 dataset where the number of tokens is based on the OpenAI GPT-2 tokenizer. We then annotate the sentences of the generated passages using the guidelines shown in Figure 3 such that each sentence is classified as either: • Major Inaccurate (Non-Factual, 1): The sen- tence is entirely hallucinated, i.e. the sentence is unrelated to the topic. • Minor Inaccurate (Non-Factual, 0.5): The sentence consists of some non-factual infor- mation, but the sentence is related to the topic. • Accurate (Factual, 0): The information pre- sented in the sentence is accurate. Of the 1908 annotated sentences, 761 (39.9%) of the sentences were labelled major-inaccurate, 631 (33.1%) minor-inaccurate, and 516 (27.0%) accu- rate. 201 sentences in the dataset had annotations from two different annotators. To obtain a single la- bel for this subset, if both annotators agree, then the agreed label is used. However, if there is disagree- ment, then the worse-case label is selected (e.g., {minor inaccurate, major inaccurate} is mapped to major inaccurate). The inter-annotator agreement, as measured

paper_003_chunk_0002 | 6 Data and Annotation | score=7.958831 | one another. We investigate this approach by using GPT-3 to generate passages about individuals from the WikiBio dataset, and manually annotate the factuality of the gener- ated passages. We demonstrate that SelfCheck- GPT can: i) detect non-factual and factual sen- tences; and ii) rank passages in terms of factu- ality. We compare our approach to several base- lines and show that our approach has consider- ably higher AUC-PR scores in sentence-level hallucination detection and higher correlation scores in passage-level factuality assessment compared to grey-box methods.1 1 Introduction Large Language Models (LLMs) such as GPT-3 (Brown et al., 2020) and PaLM (Chowdhery et al., 2022) are capable of generating fluent and realistic responses to a variety of user prompts. They have been used in many applications such as automatic 1Code and dataset can be found on the project page at https://github.com/potsawee/selfcheckgpt. LLM e.g. GPT-3 Giuseppe Mariani was an Italian professional footballer who played as a forward. He was born in Milan, Italy. He died in Rome, Italy. [truncated] Giuseppe Mariani was an Italian painter, sculptor, and engraver. He was born in Naples, Italy, in 1882, and died in Paris, France, in 1944. [truncated] Giuseppe Mariani was an Italian violinist, pedagogue and composer. He was born in Pavia, Italy, on 4 June 1836. [truncated] Stochastically-generated responses SelfCheckGPT Score (e.g. how often is the sentence supported by the samples) N samples Does {sample1} support {sentence}? Answer: [Yes/No] LLM sample1 sampleN Does {sampleN} support

paper_003_chunk_0001 | 6 Data and Annotation | score=7.952267 | ","In the SelfCheckGPT dataset, 238 WikiBio passages and 1908 sentences were manually annotated.",tool_results,"[""paper_003_chunk_0017""]",assertable,needs_human_review,tool_answer_needs_human_review,yes,compliant,tool_repair_success,
