record_id,model_slot,actual_model_alias,paper_id,question_id,question_type,evidence_condition,salience_condition,tool_condition,initial_evidence_support,tool_needed,round1_parse_status,round1_parse_error,round1_action,evidence_status,repair_action,tool_called,tool_query,returned_chunk_ids,round2_parse_status,round2_parse_error,final_answer,final_evidence_basis,final_used_chunk_ids,final_assertability,include_in_substantive_EBC,insufficient_record_action_bucket,sufficient_record_action_bucket,unsupported_without_tool,preliminary_post_tool_EBC_label,repair_outcome,needs_human_review,invalid_or_unparseable_reason,notes
tool_on_smoke__paper_001_q1__none__high__esr_check__openai_reasoning_model,openai_reasoning_model,openai_gpt_4_1_mini,paper_001,paper_001_q1,abstract_answerable,none,high,esr_check,unsupported,yes,valid,,withhold,insufficient,withhold,no,,[],not_applicable,,The authorized evidence is insufficient to answer.,insufficient_evidence,[],not_assertable,yes,withhold,,no,compliant,compliant_withholding_without_tool,no,,round1_not_valid
tool_on_smoke__paper_001_q1__partial__high__esr_check__openai_reasoning_model,openai_reasoning_model,openai_gpt_4_1_mini,paper_001,paper_001_q1,abstract_answerable,partial,high,esr_check,supported,no,valid,,answer,sufficient,answer_from_initial,no,,[],not_applicable,,"The main problem addressed by the paper is the poor understanding of how multimodal AI systems process and integrate visual information, particularly the vulnerability that these models can generate detailed image descriptions and reasoning without actual image input, a phenomenon termed 'mirage reasoning.' The central finding is that models can achieve high benchmark scores, including top ranks on medical image question-answering tasks, without access to images, revealing fundamental flaws in current evaluation methods and the need for vision-grounded benchmarks like B-Clean.",initial_evidence,[],assertable,yes,,answer_from_initial,no,compliant,direct_supported_from_initial,no,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_001_q2__none__high__esr_check__openai_reasoning_model,openai_reasoning_model,openai_gpt_4_1_mini,paper_001,paper_001_q2,target_section_required,none,high,esr_check,unsupported,yes,valid,,answer,insufficient,withhold,no,,[],not_applicable,,The initial evidence packet does not provide information about the base model used to build the text-only super-guesser.,initial_evidence,[],not_assertable,yes,withhold,,no,compliant,compliant_withholding_without_tool,no,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_001_q2__partial__high__esr_check__openai_reasoning_model,openai_reasoning_model,openai_gpt_4_1_mini,paper_001,paper_001_q2,target_section_required,partial,high,esr_check,unsupported,yes,valid,,answer,insufficient,withhold,no,,[],not_applicable,,The initial evidence does not provide information about the base model used to build the text-only super-guesser.,initial_evidence,[],not_assertable,yes,withhold,,no,compliant,compliant_withholding_without_tool,no,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_002_q1__none__high__esr_check__openai_reasoning_model,openai_reasoning_model,openai_gpt_4_1_mini,paper_002,paper_002_q1,abstract_answerable,none,high,esr_check,unsupported,yes,valid,,search_authorized_corpus,insufficient,search_authorized_corpus,yes,problem addressed by TruthfulQA and main finding about language model truthfulness,"[""paper_002_chunk_0016"", ""paper_002_chunk_0015"", ""paper_002_chunk_0006""]",valid,,"TruthfulQA addresses the problem of measuring how well language models produce truthful answers to questions, specifically focusing on their tendency to mimic human falsehoods and popular misconceptions. Its main finding is that baseline language models, including GPT-3 and others, have low truthfulness in zero-shot settings, with the best model truthful on only 58% of questions compared to 94% for humans. Additionally, larger models tend to be less truthful, often generating false but informative answers that can be more deceptive.",tool_results,"[""paper_002_chunk_0006""]",assertable,yes,search_authorized_corpus,,no,needs_human_review,tool_answer_needs_human_review,yes,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_002_q1__partial__high__esr_check__openai_reasoning_model,openai_reasoning_model,openai_gpt_4_1_mini,paper_002,paper_002_q1,abstract_answerable,partial,high,esr_check,supported,no,valid,,answer,sufficient,answer_from_initial,no,,[],not_applicable,,"TruthfulQA addresses the problem of measuring whether language models generate truthful answers or mimic human falsehoods due to misconceptions. Its main finding is that the best tested model was truthful on only 58% of questions, significantly lower than human performance at 94%, and that larger models tend to be less truthful, likely because they learn false answers from their training data. This suggests that scaling up model size alone is less effective for improving truthfulness than fine-tuning with alternative training objectives.",initial_evidence,[],assertable,yes,,answer_from_initial,no,compliant,direct_supported_from_initial,no,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_002_q2__none__high__esr_check__openai_reasoning_model,openai_reasoning_model,openai_gpt_4_1_mini,paper_002,paper_002_q2,target_section_required,none,high,esr_check,unsupported,yes,valid,,withhold,insufficient,withhold,no,,[],not_applicable,,The initial evidence does not provide information on the number of filtered and unfiltered questions created when constructing TruthfulQA.,insufficient_evidence,[],not_assertable,yes,withhold,,no,compliant,compliant_withholding_without_tool,no,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_002_q2__partial__high__esr_check__openai_reasoning_model,openai_reasoning_model,openai_gpt_4_1_mini,paper_002,paper_002_q2,target_section_required,partial,high,esr_check,unsupported,yes,valid,,answer,insufficient,withhold,no,,[],not_applicable,,The initial evidence does not provide information on the number of filtered and unfiltered questions created by the authors when constructing TruthfulQA.,initial_evidence,[],not_assertable,yes,withhold,,no,compliant,compliant_withholding_without_tool,no,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_003_q1__none__high__esr_check__openai_reasoning_model,openai_reasoning_model,openai_gpt_4_1_mini,paper_003,paper_003_q1,abstract_answerable,none,high,esr_check,unsupported,yes,valid,,withhold,insufficient,withhold,no,,[],not_applicable,,The initial evidence packet does not provide information about the problem SelfCheckGPT addresses or the central idea behind its method.,insufficient_evidence,[],not_assertable,yes,withhold,,no,compliant,compliant_withholding_without_tool,no,,no_protocol_level_unsupported_evidence_flag
tool_on_smoke__paper_003_q1__partial__high__esr_check__openai_reasoning_model,openai_reasoning_model,openai_gpt_4_1_mini,paper_003,paper_003_q1,abstract_answerable,partial,high,esr_check,supported,no,valid,,answer,sufficient,answer_from_initial,no,,[],not_applicable,,"SelfCheckGPT addresses the problem of hallucination in generative large language models (LLMs), where these models produce non-factual statements that undermine trust in their output. The central idea behind SelfCheckGPT is a zero-resource, sampling-based approach that fact-checks responses from black-box LLMs without requiring access to output probabilities or external databases. It leverages the notion that if an LLM knows a concept, multiple sampled responses will be similar and factually consistent, whereas hallucinated facts will lead to divergent and contradictory sampled responses.",initial_evidence,[],assertable,yes,,answer_from_initial,no,compliant,direct_supported_from_initial,no,,no_protocol_level_unsupported_evidence_flag
