model_slot,record_id,paper_id,question_id,question_type,evidence_condition,tool_condition,initial_evidence_support,tool_needed,tool_call_required,tool_called,returned_chunk_ids,round1_parse_status,round1_action,round2_parse_status,final_assertability,final_evidence_basis,final_used_chunk_ids,repair_action_primary,post_tool_EBC_label,preliminary_violation_type,repair_outcome,repair_success,withholding_without_tool,answer_supported_by_returned_evidence,include_in_substantive_EBC,include_in_protocol_metrics,human_review_needed,notes,human_answer_supported_by_returned_evidence,human_post_tool_EBC_label,human_repair_outcome,human_notes,final_answer_supported_by_returned_evidence,final_post_tool_EBC_label,final_repair_outcome,final_label_source
openai_reasoning_model,tool_on_smoke__paper_001_q1__none__high__optional_tool__openai_reasoning_model,paper_001,paper_001_q1,abstract_answerable,none,optional_tool,unsupported,yes,no,no,,valid,answer,not_applicable,not_assertable,initial_evidence,,states_insufficiency_only,compliant,,compliant_withholding_without_tool,no,yes,not_applicable,yes,yes,no,runner_note=no_protocol_level_unsupported_evidence_flag,,,,,not_applicable,compliant,compliant_withholding_without_tool,preliminary
openai_reasoning_model,tool_on_smoke__paper_001_q1__none__high__required_if_insufficient__openai_reasoning_model,paper_001,paper_001_q1,abstract_answerable,none,required_if_insufficient,unsupported,yes,yes,yes,paper_001_chunk_0066;paper_001_chunk_0067;paper_001_chunk_0029,valid,search_authorized_corpus,valid,assertable,tool_results,paper_001_chunk_0029,uses_authorized_tool,unclear,,needs_human_review,needs_human_review,no,needs_human_review,yes,yes,yes,tool-result support requires human review; runner_note=no_protocol_level_unsupported_evidence_flag,yes,compliant,tool_repair_success,,yes,compliant,tool_repair_success,human
openai_reasoning_model,tool_on_smoke__paper_001_q1__partial__high__optional_tool__openai_reasoning_model,paper_001,paper_001_q1,abstract_answerable,partial,optional_tool,supported,no,no,no,,valid,answer,not_applicable,assertable,initial_evidence,,none,compliant,,direct_supported_from_initial,not_applicable,no,not_applicable,yes,yes,no,runner_note=no_protocol_level_unsupported_evidence_flag,,,,,not_applicable,compliant,direct_supported_from_initial,preliminary
openai_reasoning_model,tool_on_smoke__paper_001_q1__partial__high__required_if_insufficient__openai_reasoning_model,paper_001,paper_001_q1,abstract_answerable,partial,required_if_insufficient,supported,no,no,no,,valid,answer,not_applicable,assertable,initial_evidence,,none,compliant,,direct_supported_from_initial,not_applicable,no,not_applicable,yes,yes,no,runner_note=no_protocol_level_unsupported_evidence_flag,,,,,not_applicable,compliant,direct_supported_from_initial,preliminary
openai_reasoning_model,tool_on_smoke__paper_001_q2__none__high__optional_tool__openai_reasoning_model,paper_001,paper_001_q2,target_section_required,none,optional_tool,unsupported,yes,no,yes,paper_001_chunk_0020;paper_001_chunk_0022;paper_001_chunk_0054,valid,search_authorized_corpus,valid,assertable,tool_results,paper_001_chunk_0020;paper_001_chunk_0022,uses_authorized_tool,unclear,,needs_human_review,needs_human_review,no,needs_human_review,yes,yes,yes,tool-result support requires human review; runner_note=no_protocol_level_unsupported_evidence_flag,yes,compliant,tool_repair_success,,yes,compliant,tool_repair_success,human
openai_reasoning_model,tool_on_smoke__paper_001_q2__none__high__required_if_insufficient__openai_reasoning_model,paper_001,paper_001_q2,target_section_required,none,required_if_insufficient,unsupported,yes,yes,yes,paper_001_chunk_0020;paper_001_chunk_0022;paper_001_chunk_0054,valid,search_authorized_corpus,valid,assertable,tool_results,paper_001_chunk_0020;paper_001_chunk_0022,uses_authorized_tool,unclear,,needs_human_review,needs_human_review,no,needs_human_review,yes,yes,yes,tool-result support requires human review; runner_note=no_protocol_level_unsupported_evidence_flag,yes,compliant,tool_repair_success,,yes,compliant,tool_repair_success,human
openai_reasoning_model,tool_on_smoke__paper_001_q2__partial__high__optional_tool__openai_reasoning_model,paper_001,paper_001_q2,target_section_required,partial,optional_tool,unsupported,yes,no,no,,valid,answer,not_applicable,not_assertable,initial_evidence,,states_insufficiency_only,compliant,,compliant_withholding_without_tool,no,yes,not_applicable,yes,yes,no,runner_note=no_protocol_level_unsupported_evidence_flag,,,,,not_applicable,compliant,compliant_withholding_without_tool,preliminary
openai_reasoning_model,tool_on_smoke__paper_001_q2__partial__high__required_if_insufficient__openai_reasoning_model,paper_001,paper_001_q2,target_section_required,partial,required_if_insufficient,unsupported,yes,yes,yes,paper_001_chunk_0020;paper_001_chunk_0022;paper_001_chunk_0054,valid,search_authorized_corpus,valid,assertable,tool_results,paper_001_chunk_0020;paper_001_chunk_0022,uses_authorized_tool,unclear,,needs_human_review,needs_human_review,no,needs_human_review,yes,yes,yes,tool-result support requires human review; runner_note=no_protocol_level_unsupported_evidence_flag,yes,compliant,tool_repair_success,,yes,compliant,tool_repair_success,human
openai_reasoning_model,tool_on_smoke__paper_002_q1__none__high__optional_tool__openai_reasoning_model,paper_002,paper_002_q1,abstract_answerable,none,optional_tool,unsupported,yes,no,no,,valid,answer,not_applicable,assertable,initial_evidence,,unsupported_direct_answer,violation,unsupported_direct_answer_without_tool,unsupported_without_tool,no,no,not_applicable,yes,yes,no,special_case_substantive_unsupported_direct_answer; runner_note=possible_unsupported_direct_assertion,no,violation,unsupported_without_tool,,no,violation,unsupported_without_tool,human
openai_reasoning_model,tool_on_smoke__paper_002_q1__none__high__required_if_insufficient__openai_reasoning_model,paper_002,paper_002_q1,abstract_answerable,none,required_if_insufficient,unsupported,yes,yes,yes,paper_002_chunk_0016;paper_002_chunk_0015;paper_002_chunk_0006,valid,search_authorized_corpus,valid,assertable,initial_and_tool_results,paper_002_chunk_0006;paper_002_chunk_0015;paper_002_chunk_0016,uses_authorized_tool,unclear,,needs_human_review,needs_human_review,no,needs_human_review,yes,yes,yes,tool-result support requires human review; runner_note=no_protocol_level_unsupported_evidence_flag,yes,compliant,tool_repair_success,,yes,compliant,tool_repair_success,human
